name,position,market_value,age,nationality
Diant Ramaj,Goalkeeper,€18.00m,22,Germany
Gerónimo Rulli,Goalkeeper,€5.00m,32,Argentina
Jay Gorter,Goalkeeper,€1.50m,24,Netherlands
Charlie Setford,Goalkeeper,€600k,20,England
Tom de Graaff,Goalkeeper,€400k,19,Netherlands
Remko Pasveer,Goalkeeper,€150k,40,Netherlands
Josip Sutalo,Centre-Back,€15.00m,24,Croatia
Ahmetcan Kaplan,Centre-Back,€10.00m,21,Türkiye
Gastón Ávila,Centre-Back,€5.00m,22,Argentina
Jakov Medic,Centre-Back,€2.00m,25,Croatia
Olivier Aertssen,Centre-Back,€600k,19,Netherlands
Jorrel Hato,Left-Back,€30.00m,18,Netherlands
Owen Wijndal,Left-Back,€5.50m,24,Netherlands
Anass Salah-Eddine,Left-Back,€1.20m,22,Netherlands
Ar'jany Martha,Left-Back,€1.20m,20,Curacao
Devyne Rensch,Right-Back,€10.00m,21,Netherlands
Jorge Sánchez,Right-Back,€3.50m,26,Mexico
Anton Gaaei,Right-Back,€3.00m,21,Denmark
Tristan Gooijer,Right-Back,€2.00m,19,Netherlands
Sivert Mannsverk,Defensive Midfield,€6.00m,22,Norway
Benjamin Tahirovic,Defensive Midfield,€5.00m,21,Bosnia-Herzegovina
Silvano Vos,Defensive Midfield,€2.50m,19,Netherlands
Julian Brandes,Defensive Midfield,€400k,20,Netherlands
Kenneth Taylor,Central Midfield,€15.00m,22,Netherlands
Branco van den Boomen,Central Midfield,€6.00m,28,Netherlands
Davy Klaassen,Central Midfield,€4.00m,31,Netherlands
Jordan Henderson,Central Midfield,€4.00m,34,England
Kian Fitz-Jim,Central Midfield,€1.00m,20,Netherlands
Borna Sosa,Left Midfield,€7.50m,26,Croatia
Kristian Hlynsson,Attacking Midfield,€7.00m,20,Iceland
Gabriel Misehouy,Attacking Midfield,€1.00m,18,Netherlands
Steven Bergwijn,Left Winger,€18.00m,26,Netherlands
Carlos Forbs,Left Winger,€8.00m,20,Portugal
Mika Godts,Left Winger,€4.00m,19,Belgium
Jaydon Banel,Left Winger,€1.20m,19,Netherlands
Amourricho Van Axel-Dongen,Left Winger,€600k,19,Netherlands
David Kalokoh,Left Winger,€300k,19,Sierra Leone
Mohammed Kudus,Right Winger,€50.00m,23,Ghana
Steven Berghuis,Right Winger,€6.00m,32,Netherlands
Christian Rasmussen,Right Winger,€2.00m,21,Denmark
Brian Brobbey,Centre-Forward,€35.00m,22,Netherlands
Georges Mikautadze,Centre-Forward,€15.00m,23,Georgia
Chuba Akpom,Centre-Forward,€12.00m,28,England
Julian Rijkhoff,Centre-Forward,€1.50m,19,Netherlands
